Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.13 16:22:00,16:22:00,68,
2026.09.13 16:23:00,16:23:00,70,
2026.09.13 16:24:00,16:24:00,67,
2026.09.13 16:25:00,16:25:00,67,
2026.09.13 16:26:00,16:26:00,64,
2026.09.13 16:27:00,16:27:00,84,
2026.09.13 16:28:00,16:28:00,78,
2026.09.13 16:29:00,16:29:00,71,
2026.09.13 16:32:00,16:32:00,79,
2026.09.13 16:33:00,16:33:00,86,
2026.09.13 16:34:00,16:34:00,81,
2026.09.13 16:35:00,16:35:00,84,
2026.09.13 16:36:00,16:36:00,91,
2026.09.13 16:37:00,16:37:00,80,
2026.09.13 16:38:00,16:38:00,81,
2026.09.13 16:39:00,16:39:00,82,
2026.09.13 16:40:00,16:40:00,78,
2026.09.13 16:41:00,16:41:00,83,
2026.09.13 16:43:00,16:43:00,94,
2026.09.13 16:44:00,16:44:00,83,
2026.09.13 16:45:00,16:45:00,90,
2026.09.13 16:46:00,16:46:00,76,
2026.09.13 16:47:00,16:47:00,80,
2026.09.13 16:48:00,16:48:00,77,
2026.09.13 16:57:00,16:57:00,65,
2026.09.13 16:59:00,16:59:00,76,
2026.09.13 17:00:00,17:00:00,62,
2026.09.13 17:01:00,17:01:00,67,
2026.09.13 17:06:00,17:06:00,61,
2026.09.13 17:07:00,17:07:00,79,
2026.09.13 17:08:00,17:08:00,69,
2026.09.13 17:09:00,17:09:00,77,
2026.09.13 17:11:00,17:11:00,61,
2026.09.13 17:12:00,17:12:00,57,
2026.09.13 17:14:00,17:14:00,86,
2026.09.13 17:15:00,17:15:00,61,
2026.09.13 17:16:00,17:16:00,72,
2026.09.13 17:17:00,17:17:00,78,
2026.09.13 17:19:00,17:19:00,77,
2026.09.13 17:20:00,17:20:00,79,
2026.09.13 17:21:00,17:21:00,83,
2026.09.13 17:22:00,17:22:00,77,
2026.09.13 17:23:00,17:23:00,80,
2026.09.13 17:24:00,17:24:00,87,
2026.09.13 17:25:00,17:25:00,97,
2026.09.13 17:26:00,17:26:00,85,
2026.09.13 17:28:00,17:28:00,82,
2026.09.13 17:29:00,17:29:00,78,
2026.09.13 17:30:00,17:30:00,75,
2026.09.13 17:31:00,17:31:00,84,
2026.09.13 17:32:00,17:32:00,87,
2026.09.13 17:33:00,17:33:00,94,
2026.09.13 17:34:00,17:34:00,87,
2026.09.13 17:35:00,17:35:00,90,
2026.09.13 17:36:00,17:36:00,95,
2026.09.13 17:37:00,17:37:00,91,
2026.09.13 17:38:00,17:38:00,82,
2026.09.13 17:39:00,17:39:00,94,
2026.09.13 17:40:00,17:40:00,92,
2026.09.13 17:41:00,17:41:00,95,
2026.09.13 17:42:00,17:42:00,94,
2026.09.13 17:43:00,17:43:00,94,
2026.09.13 17:44:00,17:44:00,93,
2026.09.13 17:45:00,17:45:00,82,
2026.09.13 17:47:00,17:47:00,90,
2026.09.13 17:48:00,17:48:00,85,
2026.09.13 17:49:00,17:49:00,78,
2026.09.13 17:50:00,17:50:00,76,
2026.09.13 17:53:00,17:53:00,80,
2026.09.13 17:54:00,17:54:00,84,
2026.09.13 17:56:00,17:56:00,80,
2026.09.13 17:57:00,17:57:00,78,
2026.09.13 17:58:00,17:58:00,85,
2026.09.13 17:59:00,17:59:00,75,
2026.09.13 18:00:00,18:00:00,80,
2026.09.13 18:01:00,18:01:00,84,
2026.09.13 18:02:00,18:02:00,78,
2026.09.13 18:03:00,18:03:00,88,
2026.09.13 18:05:00,18:05:00,102,
2026.09.13 18:06:00,18:06:00,89,
2026.09.13 18:07:00,18:07:00,104,
2026.09.13 18:08:00,18:08:00,101,
2026.09.13 18:09:00,18:09:00,98,
2026.09.13 18:10:00,18:10:00,97,
2026.09.13 18:11:00,18:11:00,95,
2026.09.13 18:12:00,18:12:00,103,
2026.09.13 18:13:00,18:13:00,92,
2026.09.13 18:14:00,18:14:00,84,
2026.09.13 18:16:00,18:16:00,66,
2026.09.13 18:19:00,18:19:00,73,
2026.09.13 18:20:00,18:20:00,74,
2026.09.13 18:22:00,18:22:00,69,
2026.09.13 18:23:00,18:23:00,70,
2026.09.13 18:25:00,18:25:00,62,
2026.09.13 18:26:00,18:26:00,60,
2026.09.13 18:27:00,18:27:00,89,
2026.09.13 18:29:00,18:29:00,79,
2026.09.13 18:30:00,18:30:00,83,
2026.09.13 18:32:00,18:32:00,85,
2026.09.13 18:33:00,18:33:00,83,
2026.09.13 18:34:00,18:34:00,61,
2026.09.13 18:35:00,18:35:00,76,
2026.09.13 18:36:00,18:36:00,83,
2026.09.13 18:37:00,18:37:00,77,
2026.09.13 18:38:00,18:38:00,58,
2026.09.13 18:41:00,18:41:00,60,
2026.09.13 18:42:00,18:42:00,70,
2026.09.13 18:43:00,18:43:00,62,
2026.09.13 18:44:00,18:44:00,62,
2026.09.13 18:45:00,18:45:00,62,
2026.09.13 18:46:00,18:46:00,91,
